,Applepredicted_closing_price
455,43.312576
456,43.37778
457,43.209366
458,42.98963
459,42.23447
460,42.6792
461,42.49658
462,42.27741
463,42.192833
464,42.04166
465,42.09191
466,42.08994
467,42.775524
468,42.60277
469,42.75858
470,42.72404
471,43.11162
472,43.643635
473,43.31504
474,43.291313
475,43.39646
476,43.42454
477,42.52089
478,42.474163
479,42.509163
480,42.15113
481,42.749287
482,42.73746
483,42.94861
484,43.344074
485,43.247772
486,43.266342
487,43.247093
488,43.467083
489,43.86208
490,43.71604
491,44.34389
492,44.392056
493,44.290222
494,43.971287
495,43.965878
496,43.368988
497,42.704464
498,42.70196
499,41.935886
500,41.69032
501,41.697556
502,41.756496
503,40.255657
504,39.32518
505,40.48315
506,39.805893
507,38.942093
508,39.029476
509,40.27109
510,40.685265
511,41.394093
512,42.583557
513,42.57822
514,42.55135
515,42.382805
516,42.70623
517,43.366394
518,44.17357
519,44.140907
520,44.13738
521,43.478855
522,43.720837
523,43.833504
524,43.857468
525,43.516453
526,43.89418
527,44.528534
528,44.967655
529,44.657738
530,44.340538
531,44.343403
532,44.21497
533,43.658802
534,43.603786
535,42.73839
536,42.193874
537,41.286766
538,42.822704
539,41.92068
540,41.594982
541,41.707733
542,41.48776
543,41.83535
544,42.491272
545,42.79556
546,41.92926
547,42.227448
548,42.851654
549,42.774887
550,43.16035
551,43.280674
552,43.55556
553,44.08312
554,44.055016
555,43.049034
556,41.527557
557,41.272434
558,40.723698
559,40.844273
560,40.90466
561,40.507023
562,41.056477
563,41.834236
564,43.473194
565,43.64879
566,45.232445
567,45.565773
568,45.936974
569,46.245327
570,46.897366
571,46.672592
572,46.646294
573,46.269436
574,46.651714
575,46.405704
576,46.302742
577,46.54554
578,46.462643
579,46.737434
580,46.69042
581,46.807495
582,46.65786
583,46.582146
584,46.432842
585,47.144257
586,47.507114
587,47.902622
588,48.066452
589,47.99199
590,47.627003
591,47.51337
592,47.71807
593,47.40293
594,47.42956
595,46.978596
596,46.947983
597,46.261005
598,46.405514
599,46.13211
600,46.030186
601,45.40503
602,45.837814
603,45.74806
604,46.071342
605,45.96864
606,46.424854
607,45.736298
608,46.055527
609,46.548557
610,47.18175
611,47.186756
612,46.699604
613,47.33204
614,47.401978
615,47.39793
616,47.498363
617,47.28514
618,47.60689
619,47.512833
620,47.584026
621,47.865643
622,48.281338
623,48.19279
624,47.529408
625,47.253498
626,47.280426
627,49.703136
628,51.074688
629,51.458496
630,51.73857
631,51.335033
632,51.40929
633,51.759712
634,51.534096
635,51.862015
636,52.039898
637,52.203564
638,52.891285
639,53.86548
640,53.493816
641,53.466328
642,53.40476
643,53.53852
644,53.700077
645,54.12068
646,54.53505
647,55.31058
648,55.811764
649,56.471355
650,56.67608
651,56.414898
652,55.587044
653,55.15357
654,54.438877
655,55.640156
656,55.005466
657,56.314285
658,55.63794
659,54.47636
660,54.38233
661,54.342834
662,54.754337
663,54.232033
664,54.93322
665,55.182552
666,54.890285
667,55.87092
668,56.03281
669,56.495533
670,56.92743
671,57.612713
672,56.75289
673,55.980404
674,55.737434
675,56.402832
676,54.128334
677,53.69495
678,55.110565
679,54.166286
680,55.326218
681,54.96013
682,53.97175
683,54.56045
684,54.80418
685,55.375153
686,53.699238
687,54.716225
688,53.79748
689,53.06272
690,53.119453
691,54.316372
692,55.119617
693,52.02447
694,50.635303
695,50.733868
696,52.113235
697,51.88014
698,51.08112
699,48.73612
700,48.131523
701,46.79681
702,47.7231
703,48.097805
704,46.563496
705,44.57443
706,44.249866
707,43.2015
708,43.628197
709,43.45861
710,44.86656
711,44.568867
712,44.43894
713,45.663605
714,44.02541
715,43.631012
716,42.16571
717,42.333466
718,42.046238
719,42.15499
720,42.48233
721,41.36111
722,40.974503
723,41.29087
724,40.248585
725,39.36926
726,37.985092
727,37.060234
728,38.994877
729,38.837994
730,38.940674
731,39.153706
732,39.20868
733,36.090294
734,37.05256
735,36.89535
736,37.558308
737,38.04195
738,38.18416
739,37.89085
740,37.413376
741,37.991005
742,38.394245
743,38.653793
744,38.872753
745,38.186466
746,38.286976
747,38.01354
748,39.054085
749,38.797337
750,38.525463
751,40.628693
752,40.98362
753,41.189064
754,42.159245
755,42.861362
756,43.015472
757,42.397686
758,42.279976
759,42.05875
760,42.383812
761,42.251347
762,42.402138
763,42.31062
764,42.427708
765,42.653393
766,42.478977
767,42.88074
768,43.149265
769,43.224907
770,43.353195
771,43.008186
772,43.3854
773,43.56984
774,43.558643
775,43.351517
776,42.919205
777,42.97131
778,44.20678
779,44.706078
780,44.98708
781,45.425484
782,45.97622
783,46.455475
784,46.215126
785,46.592953
786,48.080925
787,47.340347
788,46.947826
789,46.416115
790,46.76968
791,46.826393
792,47.138565
793,47.412292
794,48.04077
795,48.365948
796,48.50341
797,48.80589
798,49.503056
799,49.44019
800,49.744938
801,49.380547
802,49.39717
803,49.446613
804,49.481785
805,50.329647
806,50.522938
807,50.753044
808,51.389442
809,51.36941
810,51.025948
811,50.786667
812,50.832314
813,49.991146
814,52.11359
815,51.804417
816,52.59674
817,51.780758
818,50.64376
819,50.508156
820,49.988205
821,49.242645
822,46.729454
823,47.138382
824,47.46343
825,47.391624
826,47.11817
