,Microsoftpredicted_closing_price
553,92.2761
554,93.254684
555,94.89626
556,95.41996
557,95.30891
558,94.41612
559,94.632195
560,92.75029
561,91.948074
562,93.359406
563,94.73554
564,93.04869
565,94.220924
566,92.96175
567,93.40333
568,94.252174
569,95.24204
570,95.04083
571,96.03562
572,96.91052
573,96.87767
574,97.21699
575,96.64639
576,96.4922
577,95.63326
578,95.71351
579,96.701195
580,96.70667
581,97.75542
582,97.53593
583,97.63994
584,97.334045
585,98.113014
586,98.0567
587,99.76371
588,100.62403
589,101.25527
590,101.61304
591,100.313034
592,100.90004
593,100.34973
594,100.59382
595,100.18084
596,100.664825
597,99.571846
598,100.16068
599,100.11535
600,101.02124
601,100.45119
602,99.8641
603,98.07111
604,98.48657
605,97.08925
606,97.94191
607,97.87997
608,99.12192
609,98.38465
610,99.021
611,100.18677
612,100.8992
613,101.259964
614,101.212975
615,103.12805
616,104.30467
617,104.07466
618,105.051216
619,104.366035
620,103.797676
621,105.331696
622,106.850716
623,106.783226
624,109.67605
625,108.715614
626,107.23144
627,105.080124
628,105.48532
629,105.52198
630,106.69475
631,107.162636
632,107.35654
633,108.04993
634,108.622025
635,108.85581
636,108.32139
637,107.62841
638,108.73766
639,107.070496
640,107.08517
641,106.894775
642,106.28108
643,105.46944
644,106.32
645,106.73018
646,107.55087
647,108.66038
648,109.3431
649,111.00143
650,111.04114
651,111.51316
652,110.974335
653,108.17475
654,108.25341
655,107.572754
656,108.59754
657,110.22073
658,110.78028
659,111.98802
660,112.46424
661,111.48306
662,112.43636
663,111.039566
664,112.746086
665,113.28443
666,113.81834
667,113.67419
668,113.29681
669,113.657135
670,113.599655
671,114.74097
672,114.34778
673,114.45977
674,112.306786
675,111.6877
676,110.361145
677,111.53001
678,106.12474
679,105.81211
680,108.53973
681,106.93205
682,110.06707
683,109.77091
684,108.08306
685,108.1114
686,108.814865
687,107.51233
688,102.530876
689,107.34239
690,106.018166
691,103.686005
692,103.33475
693,105.78961
694,105.11976
695,105.48994
696,106.60703
697,106.86661
698,110.67993
699,110.644424
700,109.04428
701,106.61276
702,106.443954
703,104.55003
704,106.46932
705,107.294846
706,104.317604
707,101.740776
708,102.55001
709,102.374245
710,105.36575
711,106.07821
712,109.822914
713,109.18619
714,110.08008
715,111.091576
716,108.06611
717,108.63188
718,104.61166
719,106.90553
720,107.56688
721,108.23431
722,108.63106
723,105.7189
724,102.917114
725,103.46153
726,103.04576
727,101.216194
728,98.29417
729,94.52914
730,99.41857
731,100.03246
732,99.76914
733,100.76367
734,100.40464
735,97.30688
736,100.88478
737,101.00161
738,101.92469
739,103.23342
740,102.802574
741,102.1936
742,101.481415
743,103.93701
744,104.34696
745,105.210434
746,106.65877
747,105.03611
748,105.96954
749,105.43926
750,106.34447
751,104.53772
752,102.69277
753,105.41458
754,103.73915
755,102.46635
756,104.79709
757,106.10728
758,105.32772
759,104.72676
760,104.96983
761,104.573326
762,105.996346
763,105.963425
764,106.15753
765,107.30574
766,107.32765
767,106.53514
768,108.4703
769,109.85421
770,110.615425
771,111.42865
772,111.34291
773,111.2838
774,111.71643
775,111.49049
776,111.0333
777,111.04944
778,109.82085
779,109.89696
780,111.84844
781,112.621544
782,113.590065
783,113.7461
784,115.003296
785,116.52048
786,116.720825
787,116.73312
788,119.18102
789,116.33923
790,117.08586
791,117.05709
792,116.11938
793,116.2541
794,117.08725
795,118.09207
796,118.32947
797,119.12142
798,118.58525
799,119.129654
800,119.1136
801,118.57695
802,119.39591
803,119.47902
804,120.12106
805,120.21655
806,120.01938
807,120.93383
808,122.3748
809,122.80839
810,124.47448
811,124.08663
812,128.07281
813,128.62971
814,128.87848
815,129.66707
816,127.12282
817,125.71366
818,127.99291
819,127.139435
820,124.96605
821,124.90995
822,124.70801
823,126.23303
824,122.71625
825,124.17673
826,125.01159
827,127.853325
828,127.06335
829,125.62693
830,126.17998
831,126.74422
832,125.41581
833,125.548935
834,125.34582
835,124.24899
836,124.9778
837,122.98538
838,119.58871
839,122.441864
840,124.59216
841,126.69485
842,130.17584
843,131.37688
844,131.16978
845,130.67734
846,131.42522
847,131.46626
848,131.91739
849,134.08228
850,134.53922
851,135.92415
852,135.90073
853,136.79819
854,132.61646
855,133.36261
856,133.12451
857,133.06895
858,134.68365
859,135.4676
860,136.4274
861,136.0592
862,136.0628
863,135.53423
864,136.8792
865,137.27911
866,137.87222
867,137.86688
868,136.18518
869,135.49713
870,135.50587
871,135.64563
872,137.37698
873,138.12567
874,139.62466
875,139.08163
876,140.35164
877,139.89444
878,139.39441
879,135.47746
880,137.34448
881,135.76495
882,131.65211
883,134.01149
884,134.09366
885,137.80006
886,136.48245
887,135.09485
888,137.66364
889,133.0083
890,133.21097
891,135.04245
892,137.18661
893,136.17078
894,137.88284
895,136.69812
896,132.77724
897,134.76762
898,134.57895
899,134.6535
900,137.06104
901,136.69916
902,135.22702
903,136.7505
904,138.8302
905,137.96333
906,136.70346
907,135.29314
908,135.2781
909,136.48422
910,136.25183
911,135.45236
912,136.46948
913,137.41437
914,139.91017
915,138.28343
916,138.33118
917,136.45544
918,138.4564
919,138.3307
920,136.83191
921,138.13129
922,136.04222
923,134.0069
924,135.43459
925,136.93845
926,136.07607
927,134.8909
928,137.29063
929,137.87006
930,138.63904
931,138.50493
932,140.51102
933,139.24284
934,138.82936
935,136.52963
936,137.59462
937,135.35902
938,136.43758
939,138.74075
940,139.4979
941,143.01143
942,141.50679
943,143.66818
944,142.10957
945,142.77463
946,143.3419
947,143.28821
948,142.9595
949,143.16559
950,144.76315
951,144.81097
952,145.90305
953,146.03368
954,146.8566
955,148.64749
956,148.925
957,149.11902
958,148.34708
959,148.28404
960,148.30704
961,149.91074
962,150.55307
963,150.94577
964,150.03241
965,148.35384
966,148.16559
967,148.54283
968,148.59283
969,150.42595
970,149.87775
971,149.8969
972,150.37206
973,151.83807
974,153.00937
975,154.021
976,153.1825
977,153.0353
978,154.25804
979,155.794
980,155.75264
981,155.87495
982,157.10869
983,157.25359
984,155.99931
985,156.24686
986,158.9792
987,156.70068
988,157.67607
989,155.83847
990,158.66994
991,160.12473
992,159.52058
993,161.66283
994,160.13394
995,161.60402
996,164.20944
997,164.95334
998,164.50633
999,163.79411
1000,164.83177
1001,162.90901
1002,160.53049
1003,163.80762
1004,165.73549
1005,170.66948
1006,167.51309
1007,172.71774
1008,177.2868
1009,176.83841
1010,181.16
1011,180.43338
1012,185.94966
1013,180.27638
1014,182.24675
1015,180.05574
1016,182.42732
1017,183.63539
1018,183.75694
1019,180.9089
1020,175.48698
1021,168.31827
1022,166.05661
1023,167.84851
1024,155.57652
1025,161.29967
1026,170.19908
1027,161.3829
1028,169.74844
1029,163.10275
1030,160.35913
1031,149.08115
1032,160.25879
1033,150.68533
1034,139.023
1035,158.19719
1036,132.72859
1037,147.56973
1038,137.86942
1039,142.5246
1040,136.021
1041,135.66951
1042,146.93015
1043,144.76532
1044,155.16817
1045,147.49687
1046,159.75804
1047,154.93353
1048,151.30826
1049,154.10722
1050,152.02606
1051,164.00977
1052,160.50626
1053,163.94952
1054,162.94571
1055,163.80489
1056,171.79616
1057,168.80153
1058,175.39307
1059,175.40825
1060,172.51645
1061,165.5585
1062,171.9915
1063,168.12962
1064,172.7565
1065,171.03279
1066,167.5917
1067,175.6194
1068,175.73798
1069,171.94958
1070,176.8338
1071,177.4717
1072,179.76357
1073,180.42067
1074,181.61452
1075,183.5037
1076,178.88362
1077,177.10391
1078,177.62938
1079,180.09035
1080,181.55408
1081,180.26608
1082,182.72845
1083,179.77444
1084,180.70128
1085,178.15263
1086,179.00972
1087,178.14084
1088,180.34421
1089,179.4138
1090,181.99649
1091,181.82648
1092,179.65547
1093,184.39148
1094,184.38948
1095,186.44385
1096,193.22156
1097,181.07149
1098,185.80579
1099,184.5152
1100,190.26703
1101,189.5688
1102,192.55995
1103,190.4917
1104,196.87164
1105,196.45277
1106,193.0841
1107,196.2434
1108,190.91386
1109,194.71304
1110,198.43048
1111,199.31436
1112,201.11017
1113,205.26967
1114,201.78693
1115,207.84004
1116,207.2263
1117,207.43459
1118,200.32916
1119,203.43257
1120,201.4503
1121,198.22104
1122,197.70403
1123,206.56642
1124,201.39342
1125,206.96446
1126,195.21379
1127,197.53508
1128,198.10556
1129,196.57663
1130,199.17523
1131,198.22427
1132,199.96222
1133,211.39255
1134,205.16194
1135,207.80347
1136,209.56755
1137,205.38641
1138,202.261
1139,197.45049
1140,204.34647
1141,201.66014
1142,203.54767
1143,204.09929
1144,205.46959
1145,203.28761
1146,209.05107
1147,205.58469
1148,207.91908
1149,209.62476
1150,214.31256
1151,218.75911
1152,220.32307
1153,216.70927
1154,219.56203
1155,222.64037
1156,207.29254
1157,208.8227
1158,194.54572
1159,207.56041
1160,196.64658
1161,199.98691
1162,199.19998
1163,203.52673
1164,198.51302
1165,198.10278
1166,194.9154
1167,197.92506
1168,201.94687
1169,194.34288
1170,199.31927
1171,201.93436
1172,203.67027
1173,201.21451
1174,205.13797
1175,205.95427
1176,199.72842
1177,205.65355
1178,198.71706
1179,205.35565
1180,203.53506
1181,210.36115
1182,214.00606
1183,215.27785
1184,213.08192
1185,212.42427
1186,212.20374
1187,206.5517
1188,208.51492
1189,207.48299
1190,208.24898
1191,209.33754
1192,202.82695
1193,207.95982
1194,194.92851
1195,201.03206
1196,195.64441
1197,197.82217
