,Teslapredicted_closing_price
0,39.311726
1,37.793324
2,37.8645
3,35.93775
4,33.610165
5,33.329792
6,32.48855
7,33.305878
8,33.3113
9,33.850273
10,35.813526
11,35.66754
12,35.70478
13,37.374046
14,37.467846
15,37.846153
16,39.162903
17,39.753468
18,40.130703
19,39.403427
20,39.7131
21,40.856915
22,41.77464
23,42.534466
24,42.246643
25,43.206066
26,42.79082
27,43.19387
28,44.382988
29,44.995087
30,45.648415
31,46.413403
32,47.49279
33,48.49042
34,48.04704
35,46.367634
36,47.053574
37,47.469196
38,47.53346
39,47.056465
40,47.448948
41,48.639843
42,50.166496
43,51.608997
44,53.29825
45,52.27701
46,51.269688
47,51.203926
48,50.923943
49,51.951485
50,51.60767
51,52.01706
52,51.926506
53,50.968513
54,51.293674
55,51.034306
56,51.858215
57,51.601406
58,51.900333
59,51.562283
60,50.994217
61,49.89909
62,49.955406
63,48.48782
64,46.900394
65,45.038113
66,45.300423
67,44.295727
68,44.11385
69,44.01059
70,43.677822
71,43.641518
72,43.683903
73,43.115486
74,44.0189
75,44.647335
76,45.47404
77,44.943222
78,45.199963
79,45.47243
80,46.362595
81,46.14387
82,46.206017
83,45.67043
84,45.569458
85,45.56164
86,45.81611
87,47.57545
88,48.18125
89,47.37538
90,45.77495
91,45.524193
92,45.049526
93,45.418488
94,45.429146
95,45.040665
96,45.613144
97,45.611923
98,42.220486
99,41.908726
100,41.277027
101,41.995262
102,42.433876
103,43.66976
104,44.036465
105,44.726723
106,44.428352
107,44.538662
108,44.797516
109,44.981945
110,46.222363
111,46.313343
112,46.070038
113,45.92613
114,45.7715
115,46.65799
116,46.581417
117,47.080547
118,45.94153
119,46.15738
120,47.301506
121,47.33134
122,47.22273
123,47.531433
124,48.196827
125,47.562424
126,47.136276
127,46.88143
128,47.585514
129,47.54186
130,46.97824
131,47.360485
132,46.85566
133,46.72728
134,46.79561
135,46.78921
136,46.48641
137,46.39792
138,46.4129
139,46.628323
140,46.326874
141,46.5908
142,46.261456
143,45.99985
144,45.819046
145,45.07922
146,44.434505
147,44.44327
148,42.73068
149,42.127575
150,42.73065
151,42.548103
152,41.85885
153,41.322582
154,41.797516
155,41.45923
156,41.479126
157,42.0361
158,42.803688
159,43.01179
160,42.80305
161,42.895298
162,43.0991
163,43.291862
164,43.555107
165,43.117393
166,43.17334
167,42.344402
168,42.787888
169,44.227947
170,44.00118
171,43.591846
172,42.447453
173,41.720676
174,42.283035
175,42.164604
176,42.356373
177,42.14299
178,41.564816
179,41.128677
180,41.832508
181,42.52152
182,41.919556
183,42.033188
184,42.41758
185,42.40211
186,42.40623
187,42.672237
188,42.100765
189,41.74379
190,40.672905
191,40.170647
192,39.992813
193,40.39935
194,40.775654
195,41.036026
196,40.322292
197,39.5774
198,39.975025
199,38.931923
200,39.197155
201,39.178818
202,39.8645
203,39.351986
204,39.250225
205,40.203255
206,40.56614
207,41.15056
208,41.132736
209,40.205605
210,40.13815
211,39.015587
212,38.878468
213,39.60266
214,39.48614
215,40.552067
216,40.475235
217,40.49326
218,40.53991
219,41.415318
220,41.58163
221,41.47756
222,42.220226
223,42.330807
224,43.29328
225,43.224712
226,43.395233
227,44.160957
228,45.181305
229,45.34541
230,44.670246
231,44.51358
232,45.009933
233,46.567318
234,46.67211
235,47.086727
236,47.47813
237,47.355183
238,47.38205
239,47.392227
240,48.64792
241,48.431183
242,48.89873
243,49.748005
244,50.005737
245,50.718372
246,51.66637
247,51.780693
248,51.570442
249,51.664692
250,51.357574
251,51.569736
252,51.18374
253,51.522617
254,51.4983
255,52.486427
256,52.50968
257,53.255314
258,54.396355
259,54.540184
260,56.35679
261,56.580025
262,56.5436
263,54.948875
264,55.38509
265,56.180355
266,55.6976
267,53.0353
268,52.95134
269,51.217922
270,51.64511
271,51.552963
272,51.577614
273,51.67429
274,51.58699
275,51.167007
276,50.860622
277,50.517414
278,50.290504
279,50.61873
280,52.401787
281,52.180084
282,53.185425
283,53.163593
284,53.307194
285,51.65057
286,52.221474
287,52.183037
288,53.48717
289,54.629242
290,55.85811
291,55.986237
292,56.16311
293,56.287884
294,59.457657
295,60.523643
296,59.45837
297,60.020336
298,60.673714
299,62.350636
300,61.97259
301,60.23911
302,61.21621
303,60.869137
304,60.749355
305,61.517185
306,61.105656
307,61.587223
308,61.96993
309,62.920895
310,62.454567
311,62.242424
312,63.055042
313,64.486275
314,64.035706
315,62.86724
316,60.387753
317,62.16197
318,62.024117
319,64.264336
320,64.95779
321,64.77735
322,65.05447
323,63.730583
324,63.87608
325,62.179543
326,63.15628
327,62.790512
328,62.730545
329,61.669388
330,62.55137
331,63.571133
332,64.964096
333,66.62702
334,67.72322
335,67.80521
336,67.82939
337,69.06038
338,70.08088
339,71.329834
340,73.11432
341,71.35782
342,71.6401
343,74.267494
344,75.29017
345,74.69567
346,74.08483
347,73.80676
348,74.21041
349,74.91923
350,75.97687
351,76.21284
352,75.350746
353,72.949425
354,74.147865
355,72.50714
356,72.612656
357,71.07687
358,67.012505
359,63.777676
360,63.98584
361,64.26016
362,65.91153
363,66.24029
364,65.29423
365,65.85269
366,64.57762
367,65.872795
368,65.43235
369,66.192375
370,65.95993
371,68.17675
372,67.85976
373,68.62938
374,67.20642
375,67.28577
376,65.45697
377,64.765
378,65.594894
379,68.90931
380,70.66687
381,70.64161
382,72.271805
383,72.16543
384,71.07195
385,71.4271
386,72.39093
387,72.30221
388,72.443924
389,70.73364
390,69.94718
391,68.3296
392,68.73593
393,70.44246
394,70.57634
395,69.85702
396,69.394585
397,69.600655
398,70.5236
399,71.02679
400,71.01933
401,70.12835
402,69.288826
403,70.150505
404,69.06992
405,72.20135
406,72.17755
407,72.89625
408,74.69293
409,75.237816
410,76.231186
411,74.801414
412,74.62836
413,73.42432
414,70.99983
415,69.82261
416,69.65733
417,68.909904
418,68.57325
419,68.667114
420,68.67082
421,69.657196
422,70.757645
423,70.91289
424,71.20628
425,69.07253
426,70.93341
427,70.826
428,71.12317
429,71.08308
430,70.32991
431,71.08591
432,71.72126
433,70.59781
434,69.49499
435,68.1035
436,68.019646
437,66.16611
438,66.051476
439,65.082016
440,64.8493
441,66.49366
442,64.937515
443,61.514065
444,62.174667
445,61.569057
446,62.04858
447,61.712254
448,61.436913
449,61.35347
450,63.222614
451,62.303524
452,62.715282
453,62.86498
454,63.318268
455,62.396233
456,63.75561
457,63.012363
458,63.49866
459,63.679817
460,63.85018
461,62.33483
462,62.439762
463,62.02772
464,61.813065
465,61.524834
466,62.943314
467,62.698925
468,63.333965
469,65.4741
470,67.55052
471,67.50512
472,67.44909
473,68.35281
474,67.790436
475,66.66035
476,66.25337
477,66.62177
478,65.65102
479,64.36722
480,63.329876
481,63.75664
482,63.103115
483,64.45144
484,63.95443
485,63.554543
486,63.770546
487,66.84303
488,66.644615
489,66.95791
490,67.43991
491,67.28146
492,67.93894
493,69.11338
494,68.85868
495,69.76574
496,70.07071
497,70.373405
498,69.358925
499,68.05359
500,68.74197
501,69.795364
502,69.33273
503,70.64266
504,69.901085
505,69.083725
506,67.3414
507,67.33317
508,68.97193
509,64.484795
510,63.44351
511,63.9209
512,65.15207
513,64.98574
514,66.76611
515,67.04406
516,67.04281
517,66.82513
518,68.84278
519,69.92302
520,70.96806
521,70.09409
522,68.89325
523,66.933426
524,67.44062
525,67.138084
526,66.342
527,66.84718
528,66.31527
529,65.984795
530,68.74798
531,68.33972
532,66.094475
533,65.716675
534,64.96467
535,63.733585
536,63.11876
537,63.89931
538,62.7455
539,61.489407
540,61.691624
541,57.81773
542,54.262115
543,55.021633
544,52.83256
545,54.874435
546,57.734993
547,60.8036
548,60.06975
549,58.674892
550,60.88813
551,60.513496
552,59.621925
553,60.501545
554,59.163715
555,58.597343
556,59.351555
557,60.420082
558,59.011734
559,57.88429
